Anzahl;Typ;Art der Daten;URL
9;Indien;Wohnort;https://www.linkedin.com/company/candi-solar
8;Schweiz;Wohnort;https://www.linkedin.com/company/candi-solar
7;Zürich und Umgebung, Schweiz;Wohnort;https://www.linkedin.com/company/candi-solar
6;Chandigarh und Umgebung, Indien;Wohnort;https://www.linkedin.com/company/candi-solar
6;Vereinigte Staaten;Wohnort;https://www.linkedin.com/company/candi-solar
5;Indonesien;Wohnort;https://www.linkedin.com/company/candi-solar
5;Südafrika;Wohnort;https://www.linkedin.com/company/candi-solar
4;Großbritannien;Wohnort;https://www.linkedin.com/company/candi-solar
3;London, Großbritannien;Wohnort;https://www.linkedin.com/company/candi-solar
3;Mexiko;Wohnort;https://www.linkedin.com/company/candi-solar
2;Argentinien;Wohnort;https://www.linkedin.com/company/candi-solar
2;Spanien;Wohnort;https://www.linkedin.com/company/candi-solar
2;Frankreich;Wohnort;https://www.linkedin.com/company/candi-solar
2;Mexico Stadt und Umgebung, Mexiko;Wohnort;https://www.linkedin.com/company/candi-solar
2;Kapstadt und Umgebung, Südafrika;Wohnort;https://www.linkedin.com/company/candi-solar
2;ETH Zürich;Hochschule;https://www.linkedin.com/company/candi-solar
2;Universität St.Gallen - Hochschule für Wirtschafts-, Rechts- und Sozialwissenschaften;Hochschule;https://www.linkedin.com/company/candi-solar
2;University of Cape Town;Hochschule;https://www.linkedin.com/company/candi-solar
2;The London School of Economics and Political Science (LSE);Hochschule;https://www.linkedin.com/company/candi-solar
1;Universidad del Museo Social Argentino;Hochschule;https://www.linkedin.com/company/candi-solar
1;UNSW;Hochschule;https://www.linkedin.com/company/candi-solar
1;Universität Basel;Hochschule;https://www.linkedin.com/company/candi-solar
1;Universität Zürich | University of Zurich;Hochschule;https://www.linkedin.com/company/candi-solar
1;Fudan University;Hochschule;https://www.linkedin.com/company/candi-solar
1;Sciences Po;Hochschule;https://www.linkedin.com/company/candi-solar
1;Brunel University London;Hochschule;https://www.linkedin.com/company/candi-solar
1;University of Cambridge;Hochschule;https://www.linkedin.com/company/candi-solar
1;University of Nottingham;Hochschule;https://www.linkedin.com/company/candi-solar
1;Anna University;Hochschule;https://www.linkedin.com/company/candi-solar
1;Himachal Pradesh University;Hochschule;https://www.linkedin.com/company/candi-solar
9;Geschäftsentwicklung;Tätigkeitsbereich;https://www.linkedin.com/company/candi-solar
7;Ingenieurwesen;Tätigkeitsbereich;https://www.linkedin.com/company/candi-solar
5;Finanzwesen;Tätigkeitsbereich;https://www.linkedin.com/company/candi-solar
5;Gesundheitsdienste;Tätigkeitsbereich;https://www.linkedin.com/company/candi-solar
5;Operatives Geschäft;Tätigkeitsbereich;https://www.linkedin.com/company/candi-solar
3;IT;Tätigkeitsbereich;https://www.linkedin.com/company/candi-solar
2;Buchhaltung;Tätigkeitsbereich;https://www.linkedin.com/company/candi-solar
2;Medien und Kommunikation;Tätigkeitsbereich;https://www.linkedin.com/company/candi-solar
2;Vertrieb;Tätigkeitsbereich;https://www.linkedin.com/company/candi-solar
2;Kunst und Design;Tätigkeitsbereich;https://www.linkedin.com/company/candi-solar
2;Gemeinnützige und Sozialdienste;Tätigkeitsbereich;https://www.linkedin.com/company/candi-solar
2;Bildungswesen;Tätigkeitsbereich;https://www.linkedin.com/company/candi-solar
1;Personalwesen;Tätigkeitsbereich;https://www.linkedin.com/company/candi-solar
1;Marketing;Tätigkeitsbereich;https://www.linkedin.com/company/candi-solar
1;Militär- und Schutzdienste;Tätigkeitsbereich;https://www.linkedin.com/company/candi-solar
4;Maschinenbau;Studium;https://www.linkedin.com/company/candi-solar
3;Elektrotechnik und Elektronik;Studium;https://www.linkedin.com/company/candi-solar
3;Wirtschaftswissenschaften;Studium;https://www.linkedin.com/company/candi-solar
2;Energieverwaltungs- und Systemtechnik/Techniker;Studium;https://www.linkedin.com/company/candi-solar
2;Biologie, allgemein;Studium;https://www.linkedin.com/company/candi-solar
2;Chemie;Studium;https://www.linkedin.com/company/candi-solar
2;Geschäftsverwaltung und Leitung, allgemein;Studium;https://www.linkedin.com/company/candi-solar
1;Umweltstudien;Studium;https://www.linkedin.com/company/candi-solar
1;Umweltwissenschaften;Studium;https://www.linkedin.com/company/candi-solar
1;Landnutzungsplanung und Management/Entwicklung;Studium;https://www.linkedin.com/company/candi-solar
1;Chinesische Studien;Studium;https://www.linkedin.com/company/candi-solar
1;Spanische und iberische Studien;Studium;https://www.linkedin.com/company/candi-solar
1;Informatik;Studium;https://www.linkedin.com/company/candi-solar
1;Ausbildung;Studium;https://www.linkedin.com/company/candi-solar
1;Elektrotechnik, Eletronik und Kommunikationstechnik;Studium;https://www.linkedin.com/company/candi-solar
11;Projektmanagement;Skills;https://www.linkedin.com/company/candi-solar
10;Microsoft Office;Skills;https://www.linkedin.com/company/candi-solar
10;Unternehmensstrategie;Skills;https://www.linkedin.com/company/candi-solar
9;Erneuerbare Energien;Skills;https://www.linkedin.com/company/candi-solar
8;Strategie;Skills;https://www.linkedin.com/company/candi-solar
8;Microsoft Excel;Skills;https://www.linkedin.com/company/candi-solar
7;Energie;Skills;https://www.linkedin.com/company/candi-solar
6;Solarenergie;Skills;https://www.linkedin.com/company/candi-solar
6;Privates Eigenkapital;Skills;https://www.linkedin.com/company/candi-solar
5;Management;Skills;https://www.linkedin.com/company/candi-solar
5;Unternehmensfinanzierung;Skills;https://www.linkedin.com/company/candi-solar
5;Finanzanalysen;Skills;https://www.linkedin.com/company/candi-solar
5;Nachhaltigkeit;Skills;https://www.linkedin.com/company/candi-solar
4;Forschung & Entwicklung;Skills;https://www.linkedin.com/company/candi-solar
4;Verhandlungsgeschick;Skills;https://www.linkedin.com/company/candi-solar
14;Litauen;Wohnort;https://www.linkedin.com/company/stopfakefood/
1;Vereinigte Arabische Emirate;Wohnort;https://www.linkedin.com/company/stopfakefood/
1;Schweiz;Wohnort;https://www.linkedin.com/company/stopfakefood/
1;Zürich und Umgebung, Schweiz;Wohnort;https://www.linkedin.com/company/stopfakefood/
9;Vilniaus universitetas / Vilnius University;Hochschule;https://www.linkedin.com/company/stopfakefood/
1;UNSW;Hochschule;https://www.linkedin.com/company/stopfakefood/
1;INSEAD;Hochschule;https://www.linkedin.com/company/stopfakefood/
1;Aristotle University of Thessaloniki (AUTH);Hochschule;https://www.linkedin.com/company/stopfakefood/
1;University of Macedonia;Hochschule;https://www.linkedin.com/company/stopfakefood/
1;Kaunas University of Technology;Hochschule;https://www.linkedin.com/company/stopfakefood/
1;Mykolas Romeris University;Hochschule;https://www.linkedin.com/company/stopfakefood/
1;University of Cumbria;Hochschule;https://www.linkedin.com/company/stopfakefood/
1;Trinity Grammar School;Hochschule;https://www.linkedin.com/company/stopfakefood/
10;Geschäftsentwicklung;Tätigkeitsbereich;https://www.linkedin.com/company/stopfakefood/
4;Bildungswesen;Tätigkeitsbereich;https://www.linkedin.com/company/stopfakefood/
3;Produktmanagement;Tätigkeitsbereich;https://www.linkedin.com/company/stopfakefood/
3;Unternehmertum;Tätigkeitsbereich;https://www.linkedin.com/company/stopfakefood/
2;Finanzwesen;Tätigkeitsbereich;https://www.linkedin.com/company/stopfakefood/
2;Operatives Geschäft;Tätigkeitsbereich;https://www.linkedin.com/company/stopfakefood/
2;Forschung;Tätigkeitsbereich;https://www.linkedin.com/company/stopfakefood/
2;Ingenieurwesen;Tätigkeitsbereich;https://www.linkedin.com/company/stopfakefood/
1;Gesundheitsdienste;Tätigkeitsbereich;https://www.linkedin.com/company/stopfakefood/
1;IT;Tätigkeitsbereich;https://www.linkedin.com/company/stopfakefood/
1;Rechtswesen;Tätigkeitsbereich;https://www.linkedin.com/company/stopfakefood/
1;Militär- und Schutzdienste;Tätigkeitsbereich;https://www.linkedin.com/company/stopfakefood/
1;Programm- und Projektmanagement;Tätigkeitsbereich;https://www.linkedin.com/company/stopfakefood/
3;Physik;Studium;https://www.linkedin.com/company/stopfakefood/
2;Informatik;Studium;https://www.linkedin.com/company/stopfakefood/
2;Chemische Physik;Studium;https://www.linkedin.com/company/stopfakefood/
2;Geschäftsverwaltung und Leitung, allgemein;Studium;https://www.linkedin.com/company/stopfakefood/
2;Management-Informationssysteme, allgemein;Studium;https://www.linkedin.com/company/stopfakefood/
1;Europäische Studie/Zivilisation;Studium;https://www.linkedin.com/company/stopfakefood/
1;Kommunikation und Mediastudien;Studium;https://www.linkedin.com/company/stopfakefood/
1;Informationstechnologie;Studium;https://www.linkedin.com/company/stopfakefood/
1;Informationswissenschaften/-Studien;Studium;https://www.linkedin.com/company/stopfakefood/
1;Informatik;Studium;https://www.linkedin.com/company/stopfakefood/
1;Luft- und Raumfahrttechnik, Aeronautik und Astronautik;Studium;https://www.linkedin.com/company/stopfakefood/
1;Computer-Softwaretechnik;Studium;https://www.linkedin.com/company/stopfakefood/
1;Technische Physik/Angewandte Physik;Studium;https://www.linkedin.com/company/stopfakefood/
1;Energieverwaltungs- und Systemtechnik/Techniker;Studium;https://www.linkedin.com/company/stopfakefood/
1;Internationale/globale Studien;Studium;https://www.linkedin.com/company/stopfakefood/
9;Projektmanagement;Skills;https://www.linkedin.com/company/stopfakefood/
6;Management;Skills;https://www.linkedin.com/company/stopfakefood/
6;Unternehmensstrategie;Skills;https://www.linkedin.com/company/stopfakefood/
4;Teamführung;Skills;https://www.linkedin.com/company/stopfakefood/
4;Projektplanung;Skills;https://www.linkedin.com/company/stopfakefood/
4;Microsoft Office;Skills;https://www.linkedin.com/company/stopfakefood/
4;Webentwicklung;Skills;https://www.linkedin.com/company/stopfakefood/
3;Datenanalyse;Skills;https://www.linkedin.com/company/stopfakefood/
3;Verhandlungsgeschick;Skills;https://www.linkedin.com/company/stopfakefood/
3;Linux;Skills;https://www.linkedin.com/company/stopfakefood/
3;Microsoft PowerPoint;Skills;https://www.linkedin.com/company/stopfakefood/
3;Analytische Fähigkeiten;Skills;https://www.linkedin.com/company/stopfakefood/
3;Teamleitung;Skills;https://www.linkedin.com/company/stopfakefood/
3;MySQL;Skills;https://www.linkedin.com/company/stopfakefood/
3;Geschäftsentwicklung;Skills;https://www.linkedin.com/company/stopfakefood/
12;Schweiz;Wohnort;https://www.linkedin.com/company/ledgy
12;Zürich und Umgebung, Schweiz;Wohnort;https://www.linkedin.com/company/ledgy
6;ETH Zürich;Hochschule;https://www.linkedin.com/company/ledgy
1;WU (Wirtschaftsuniversität Wien);Hochschule;https://www.linkedin.com/company/ledgy
1;Université catholique de Louvain;Hochschule;https://www.linkedin.com/company/ledgy
1;EBS Universität für Wirtschaft und Recht;Hochschule;https://www.linkedin.com/company/ledgy
1;Universitat de Barcelona;Hochschule;https://www.linkedin.com/company/ledgy
1;Ecole normale supérieure;Hochschule;https://www.linkedin.com/company/ledgy
1;University of Oxford;Hochschule;https://www.linkedin.com/company/ledgy
1;HKUST Business School;Hochschule;https://www.linkedin.com/company/ledgy
1;Università degli Studi di Milano;Hochschule;https://www.linkedin.com/company/ledgy
1;Universidade Federal do ABC;Hochschule;https://www.linkedin.com/company/ledgy
1;Maastricht University;Hochschule;https://www.linkedin.com/company/ledgy
1;KTH Royal Institute of Technology;Hochschule;https://www.linkedin.com/company/ledgy
1;California State University, Chico;Hochschule;https://www.linkedin.com/company/ledgy
1;California State University, Fresno;Hochschule;https://www.linkedin.com/company/ledgy
1;University of California, Berkeley;Hochschule;https://www.linkedin.com/company/ledgy
7;Geschäftsentwicklung;Tätigkeitsbereich;https://www.linkedin.com/company/ledgy
4;Ingenieurwesen;Tätigkeitsbereich;https://www.linkedin.com/company/ledgy
2;IT;Tätigkeitsbereich;https://www.linkedin.com/company/ledgy
2;Unternehmertum;Tätigkeitsbereich;https://www.linkedin.com/company/ledgy
1;Operatives Geschäft;Tätigkeitsbereich;https://www.linkedin.com/company/ledgy
1;Produktmanagement;Tätigkeitsbereich;https://www.linkedin.com/company/ledgy
1;Forschung;Tätigkeitsbereich;https://www.linkedin.com/company/ledgy
1;Bildungswesen;Tätigkeitsbereich;https://www.linkedin.com/company/ledgy
4;Informatik;Studium;https://www.linkedin.com/company/ledgy
3;Physik;Studium;https://www.linkedin.com/company/ledgy
2;Geschäftsverwaltung und Leitung, allgemein;Studium;https://www.linkedin.com/company/ledgy
1;Lebensmittelwissenschaft;Studium;https://www.linkedin.com/company/ledgy
1;Informationstechnologie;Studium;https://www.linkedin.com/company/ledgy
1;Computer-/IT-Verwaltung und -Management;Studium;https://www.linkedin.com/company/ledgy
1;Umweltschutztechnik/Umwelttechnik;Studium;https://www.linkedin.com/company/ledgy
1;Französische Sprache und Literatur;Studium;https://www.linkedin.com/company/ledgy
1;Spanische Sprache und Literatur;Studium;https://www.linkedin.com/company/ledgy
1;Amerikanisches/U.S.-Recht/Rechtsstudien/Rechtsprechung;Studium;https://www.linkedin.com/company/ledgy
1;Englische Sprache und Literatur, allgemein;Studium;https://www.linkedin.com/company/ledgy
1;Immunologie;Studium;https://www.linkedin.com/company/ledgy
1;Biotechnologie;Studium;https://www.linkedin.com/company/ledgy
1;Neurowissenschaft;Studium;https://www.linkedin.com/company/ledgy
1;Mathematik;Studium;https://www.linkedin.com/company/ledgy
6;Python;Skills;https://www.linkedin.com/company/ledgy
5;Rhetorische Fähigkeiten;Skills;https://www.linkedin.com/company/ledgy
5;Unternehmertum;Skills;https://www.linkedin.com/company/ledgy
5;Forschung & Entwicklung;Skills;https://www.linkedin.com/company/ledgy
5;JavaScript;Skills;https://www.linkedin.com/company/ledgy
4;Riskokapital;Skills;https://www.linkedin.com/company/ledgy
4;Git;Skills;https://www.linkedin.com/company/ledgy
4;Unternehmensstrategie;Skills;https://www.linkedin.com/company/ledgy
4;Programmierung;Skills;https://www.linkedin.com/company/ledgy
4;Teamwork;Skills;https://www.linkedin.com/company/ledgy
3;Strategie;Skills;https://www.linkedin.com/company/ledgy
3;Management;Skills;https://www.linkedin.com/company/ledgy
3;Datenanalyse;Skills;https://www.linkedin.com/company/ledgy
3;Geschäftsentwicklung;Skills;https://www.linkedin.com/company/ledgy
3;Start-ups;Skills;https://www.linkedin.com/company/ledgy
15;Schweiz;Wohnort;https://www.linkedin.com/company/skribble-trustshapers/
13;Zürich und Umgebung, Schweiz;Wohnort;https://www.linkedin.com/company/skribble-trustshapers/
2;Deutschland;Wohnort;https://www.linkedin.com/company/skribble-trustshapers/
1;Basel und Umgebung, Schweiz;Wohnort;https://www.linkedin.com/company/skribble-trustshapers/
1;Bern und Umgebung, Schweiz;Wohnort;https://www.linkedin.com/company/skribble-trustshapers/
1;Berlin und Umgebung, Deutschland;Wohnort;https://www.linkedin.com/company/skribble-trustshapers/
1;Stuttgart und Umgebung, Deutschland;Wohnort;https://www.linkedin.com/company/skribble-trustshapers/
4;Universität St.Gallen - Hochschule für Wirtschafts-, Rechts- und Sozialwissenschaften;Hochschule;https://www.linkedin.com/company/skribble-trustshapers/
3;University of Geneva;Hochschule;https://www.linkedin.com/company/skribble-trustshapers/
2;ETH Zürich;Hochschule;https://www.linkedin.com/company/skribble-trustshapers/
2;Universität Zürich | University of Zurich;Hochschule;https://www.linkedin.com/company/skribble-trustshapers/
1;University of Technology Sydney;Hochschule;https://www.linkedin.com/company/skribble-trustshapers/
1;IMD Business School;Hochschule;https://www.linkedin.com/company/skribble-trustshapers/
1;Universität Bern;Hochschule;https://www.linkedin.com/company/skribble-trustshapers/
1;Université de Fribourg/Universität Freiburg;Hochschule;https://www.linkedin.com/company/skribble-trustshapers/
1;Université de Neuchâtel;Hochschule;https://www.linkedin.com/company/skribble-trustshapers/
1;USI Università della Svizzera italiana;Hochschule;https://www.linkedin.com/company/skribble-trustshapers/
1;Brno University of Technology;Hochschule;https://www.linkedin.com/company/skribble-trustshapers/
1;Universitat Autònoma de Barcelona;Hochschule;https://www.linkedin.com/company/skribble-trustshapers/
1;The Open University;Hochschule;https://www.linkedin.com/company/skribble-trustshapers/
1;The University of Manchester;Hochschule;https://www.linkedin.com/company/skribble-trustshapers/
1;University of Cambridge;Hochschule;https://www.linkedin.com/company/skribble-trustshapers/
13;Geschäftsentwicklung;Tätigkeitsbereich;https://www.linkedin.com/company/skribble-trustshapers/
5;Unternehmertum;Tätigkeitsbereich;https://www.linkedin.com/company/skribble-trustshapers/
3;Marketing;Tätigkeitsbereich;https://www.linkedin.com/company/skribble-trustshapers/
2;IT;Tätigkeitsbereich;https://www.linkedin.com/company/skribble-trustshapers/
2;Medien und Kommunikation;Tätigkeitsbereich;https://www.linkedin.com/company/skribble-trustshapers/
2;Ingenieurwesen;Tätigkeitsbereich;https://www.linkedin.com/company/skribble-trustshapers/
1;Operatives Geschäft;Tätigkeitsbereich;https://www.linkedin.com/company/skribble-trustshapers/
1;Produktmanagement;Tätigkeitsbereich;https://www.linkedin.com/company/skribble-trustshapers/
1;Programm- und Projektmanagement;Tätigkeitsbereich;https://www.linkedin.com/company/skribble-trustshapers/
1;Qualitätssicherung;Tätigkeitsbereich;https://www.linkedin.com/company/skribble-trustshapers/
1;Support;Tätigkeitsbereich;https://www.linkedin.com/company/skribble-trustshapers/
1;Unternehmensberatung;Tätigkeitsbereich;https://www.linkedin.com/company/skribble-trustshapers/
2;Künstliche Intelligenz;Studium;https://www.linkedin.com/company/skribble-trustshapers/
2;Informatik;Studium;https://www.linkedin.com/company/skribble-trustshapers/
2;Recht;Studium;https://www.linkedin.com/company/skribble-trustshapers/
2;Internationale Beziehungen und Angelegenheiten;Studium;https://www.linkedin.com/company/skribble-trustshapers/
1;Kommunikation und Mediastudien;Studium;https://www.linkedin.com/company/skribble-trustshapers/
1;Kommunikation allgemein;Studium;https://www.linkedin.com/company/skribble-trustshapers/
1;Massenkommunikation/Mediastudien;Studium;https://www.linkedin.com/company/skribble-trustshapers/
1;Werbung;Studium;https://www.linkedin.com/company/skribble-trustshapers/
1;Computer- und Informationswissenschaften und Support-Dienste;Studium;https://www.linkedin.com/company/skribble-trustshapers/
1;Informationstechnologie;Studium;https://www.linkedin.com/company/skribble-trustshapers/
1;Informatik;Studium;https://www.linkedin.com/company/skribble-trustshapers/
1;Technische Physik;Studium;https://www.linkedin.com/company/skribble-trustshapers/
1;Englische Literatur;Studium;https://www.linkedin.com/company/skribble-trustshapers/
1;Neurowissenschaft;Studium;https://www.linkedin.com/company/skribble-trustshapers/
1;Physik;Studium;https://www.linkedin.com/company/skribble-trustshapers/
8;Projektmanagement;Skills;https://www.linkedin.com/company/skribble-trustshapers/
8;Unternehmensstrategie;Skills;https://www.linkedin.com/company/skribble-trustshapers/
6;Geschäftsentwicklung;Skills;https://www.linkedin.com/company/skribble-trustshapers/
6;Start-ups;Skills;https://www.linkedin.com/company/skribble-trustshapers/
5;Strategie;Skills;https://www.linkedin.com/company/skribble-trustshapers/
5;Französisch;Skills;https://www.linkedin.com/company/skribble-trustshapers/
4;JavaScript;Skills;https://www.linkedin.com/company/skribble-trustshapers/
4;Programmierung;Skills;https://www.linkedin.com/company/skribble-trustshapers/
3;Consulting;Skills;https://www.linkedin.com/company/skribble-trustshapers/
3;Datenanalyse;Skills;https://www.linkedin.com/company/skribble-trustshapers/
3;Englisch;Skills;https://www.linkedin.com/company/skribble-trustshapers/
3;Maschinelles Lernen;Skills;https://www.linkedin.com/company/skribble-trustshapers/
3;Digitale Strategie;Skills;https://www.linkedin.com/company/skribble-trustshapers/
3;Soziale Medien;Skills;https://www.linkedin.com/company/skribble-trustshapers/
3;Softwareentwicklung;Skills;https://www.linkedin.com/company/skribble-trustshapers/
5;Schweiz;Wohnort;https://www.linkedin.com/company/heymate-official/
5;Zürich und Umgebung, Schweiz;Wohnort;https://www.linkedin.com/company/heymate-official/
5;Ukraine;Wohnort;https://www.linkedin.com/company/heymate-official/
1;Deutschland;Wohnort;https://www.linkedin.com/company/heymate-official/
1;Berlin und Umgebung, Deutschland;Wohnort;https://www.linkedin.com/company/heymate-official/
1;Vereinigte Staaten;Wohnort;https://www.linkedin.com/company/heymate-official/
1;San Francisco Bay und Umgebung;Wohnort;https://www.linkedin.com/company/heymate-official/
1;EPFL (École polytechnique fédérale de Lausanne);Hochschule;https://www.linkedin.com/company/heymate-official/
1;Universität Zürich | University of Zurich;Hochschule;https://www.linkedin.com/company/heymate-official/
1;Hochschule Pforzheim - Gestaltung, Technik, Wirtschaft und Recht;Hochschule;https://www.linkedin.com/company/heymate-official/
1;Universität Witten/Herdecke;Hochschule;https://www.linkedin.com/company/heymate-official/
1;Cairo University;Hochschule;https://www.linkedin.com/company/heymate-official/
1;IESE Business School;Hochschule;https://www.linkedin.com/company/heymate-official/
1;Télécom Paris;Hochschule;https://www.linkedin.com/company/heymate-official/
1;University of Bath;Hochschule;https://www.linkedin.com/company/heymate-official/
1;University of Cambridge;Hochschule;https://www.linkedin.com/company/heymate-official/
1;Collège des Ingénieurs;Hochschule;https://www.linkedin.com/company/heymate-official/
1;The Wharton School;Hochschule;https://www.linkedin.com/company/heymate-official/
1;The London School of Economics and Political Science (LSE);Hochschule;https://www.linkedin.com/company/heymate-official/
1;The Chartered Institute for Securities & Investment (The CISI);Hochschule;https://www.linkedin.com/company/heymate-official/
1;Beetroot Academy;Hochschule;https://www.linkedin.com/company/heymate-official/
8;Geschäftsentwicklung;Tätigkeitsbereich;https://www.linkedin.com/company/heymate-official/
5;Ingenieurwesen;Tätigkeitsbereich;https://www.linkedin.com/company/heymate-official/
3;Finanzwesen;Tätigkeitsbereich;https://www.linkedin.com/company/heymate-official/
3;Operatives Geschäft;Tätigkeitsbereich;https://www.linkedin.com/company/heymate-official/
1;Qualitätssicherung;Tätigkeitsbereich;https://www.linkedin.com/company/heymate-official/
3;Informationstechnologie;Studium;https://www.linkedin.com/company/heymate-official/
3;Finanzwesen, allgemein;Studium;https://www.linkedin.com/company/heymate-official/
2;Internationale/globale Studien;Studium;https://www.linkedin.com/company/heymate-official/
2;Business, Management, Marketing und verbundene unterstützende Dienste;Studium;https://www.linkedin.com/company/heymate-official/
1;Informatik;Studium;https://www.linkedin.com/company/heymate-official/
1;Web-/Multimedia-Management und Webmaster;Studium;https://www.linkedin.com/company/heymate-official/
1;Computertechnik;Studium;https://www.linkedin.com/company/heymate-official/
1;Computer-Softwaretechnik;Studium;https://www.linkedin.com/company/heymate-official/
1;Bank-, Unternehmens-, Finanz- und Wertpapierrecht;Studium;https://www.linkedin.com/company/heymate-official/
1;Steuerrecht/Besteuerung;Studium;https://www.linkedin.com/company/heymate-official/
1;Mathematik;Studium;https://www.linkedin.com/company/heymate-official/
1;Analyse und funktionelle Analyse;Studium;https://www.linkedin.com/company/heymate-official/
1;Physik;Studium;https://www.linkedin.com/company/heymate-official/
1;Theoretische und mathematische Physik;Studium;https://www.linkedin.com/company/heymate-official/
1;Wirtschaftswissenschaften;Studium;https://www.linkedin.com/company/heymate-official/
5;Management;Skills;https://www.linkedin.com/company/heymate-official/
4;Cascading Style Sheets (CSS);Skills;https://www.linkedin.com/company/heymate-official/
4;Analytische Fähigkeiten;Skills;https://www.linkedin.com/company/heymate-official/
4;AngularJS;Skills;https://www.linkedin.com/company/heymate-official/
4;Unternehmensstrategie;Skills;https://www.linkedin.com/company/heymate-official/
4;HTML5;Skills;https://www.linkedin.com/company/heymate-official/
3;Marketing;Skills;https://www.linkedin.com/company/heymate-official/
3;Geschäftsentwicklung;Skills;https://www.linkedin.com/company/heymate-official/
3;Portfoliomanagement;Skills;https://www.linkedin.com/company/heymate-official/
3;Vertrieb;Skills;https://www.linkedin.com/company/heymate-official/
3;Finanzwesen;Skills;https://www.linkedin.com/company/heymate-official/
3;Softwareentwicklung;Skills;https://www.linkedin.com/company/heymate-official/
3;Asset-Management;Skills;https://www.linkedin.com/company/heymate-official/
3;Git;Skills;https://www.linkedin.com/company/heymate-official/
3;Webentwicklung;Skills;https://www.linkedin.com/company/heymate-official/
13;Schweiz;Wohnort;https://www.linkedin.com/company/parashift-ag/
10;Basel und Umgebung, Schweiz;Wohnort;https://www.linkedin.com/company/parashift-ag/
3;Zürich und Umgebung, Schweiz;Wohnort;https://www.linkedin.com/company/parashift-ag/
5;Fachhochschule Nordwestschweiz FHNW;Hochschule;https://www.linkedin.com/company/parashift-ag/
2;Universität Bern;Hochschule;https://www.linkedin.com/company/parashift-ag/
1;ETH Zürich;Hochschule;https://www.linkedin.com/company/parashift-ag/
1;Universität Basel;Hochschule;https://www.linkedin.com/company/parashift-ag/
1;Duale Hochschule Baden-Württemberg;Hochschule;https://www.linkedin.com/company/parashift-ag/
1;University of Groningen;Hochschule;https://www.linkedin.com/company/parashift-ag/
1;IUT De Mulhouse;Hochschule;https://www.linkedin.com/company/parashift-ag/
1;Berner Fachhochschule BFH;Hochschule;https://www.linkedin.com/company/parashift-ag/
1;Lund University;Hochschule;https://www.linkedin.com/company/parashift-ag/
1;Walter-Rathenau-Gewerbeschule Freiburg;Hochschule;https://www.linkedin.com/company/parashift-ag/
1;Propulsion Academy Zürich;Hochschule;https://www.linkedin.com/company/parashift-ag/
1;CYP;Hochschule;https://www.linkedin.com/company/parashift-ag/
1;University of Michigan College of Engineering;Hochschule;https://www.linkedin.com/company/parashift-ag/
1;webmasters akademie Nürnberg GmbH;Hochschule;https://www.linkedin.com/company/parashift-ag/
6;Geschäftsentwicklung;Tätigkeitsbereich;https://www.linkedin.com/company/parashift-ag/
3;Ingenieurwesen;Tätigkeitsbereich;https://www.linkedin.com/company/parashift-ag/
2;Finanzwesen;Tätigkeitsbereich;https://www.linkedin.com/company/parashift-ag/
2;IT;Tätigkeitsbereich;https://www.linkedin.com/company/parashift-ag/
1;Marketing;Tätigkeitsbereich;https://www.linkedin.com/company/parashift-ag/
1;Produktmanagement;Tätigkeitsbereich;https://www.linkedin.com/company/parashift-ag/
1;Verwaltung;Tätigkeitsbereich;https://www.linkedin.com/company/parashift-ag/
1;Support;Tätigkeitsbereich;https://www.linkedin.com/company/parashift-ag/
1;Gemeinnützige und Sozialdienste;Tätigkeitsbereich;https://www.linkedin.com/company/parashift-ag/
1;Unternehmertum;Tätigkeitsbereich;https://www.linkedin.com/company/parashift-ag/
3;Geschäftsverwaltung und Leitung, allgemein;Studium;https://www.linkedin.com/company/parashift-ag/
2;Marketing;Studium;https://www.linkedin.com/company/parashift-ag/
1;Künstliche Intelligenz;Studium;https://www.linkedin.com/company/parashift-ag/
1;Informationstechnologie;Studium;https://www.linkedin.com/company/parashift-ag/
1;Erwachsenen- und Fortbildung und Unterricht;Studium;https://www.linkedin.com/company/parashift-ag/
1;Maschinenbau;Studium;https://www.linkedin.com/company/parashift-ag/
1;Mechatronik, Robotik und Automatisierungstechnik;Studium;https://www.linkedin.com/company/parashift-ag/
1;Fremdsprachen und Literaturen, allgemein;Studium;https://www.linkedin.com/company/parashift-ag/
1;Recht;Studium;https://www.linkedin.com/company/parashift-ag/
1;Physik;Studium;https://www.linkedin.com/company/parashift-ag/
1;Theoretische und mathematische Physik;Studium;https://www.linkedin.com/company/parashift-ag/
1;Wirtschaftswissenschaften;Studium;https://www.linkedin.com/company/parashift-ag/
1;Bautechnik;Studium;https://www.linkedin.com/company/parashift-ag/
1;Projektmanagement;Studium;https://www.linkedin.com/company/parashift-ag/
1;Rechnungswesen und verbundene Dienste;Studium;https://www.linkedin.com/company/parashift-ag/
4;Projektmanagement;Skills;https://www.linkedin.com/company/parashift-ag/
3;Python;Skills;https://www.linkedin.com/company/parashift-ag/
3;Matlab;Skills;https://www.linkedin.com/company/parashift-ag/
3;Maschinelles Lernen;Skills;https://www.linkedin.com/company/parashift-ag/
3;SQL;Skills;https://www.linkedin.com/company/parashift-ag/
2;Strategie;Skills;https://www.linkedin.com/company/parashift-ag/
2;JavaScript;Skills;https://www.linkedin.com/company/parashift-ag/
2;Consulting;Skills;https://www.linkedin.com/company/parashift-ag/
2;Digitale Transformation;Skills;https://www.linkedin.com/company/parashift-ag/
